Transect Name,Transect Comments,Observation ID,Observation Subtype,Observation Timestamp,Species Code,Count,Species Common Name,,Behavior,Direction,Distance,Degree,Age,Plumage,Sex,Linked with Observation ID,Observation Comment,Association,Flight Height,Events,Observer,Position,Beaufort ID,Visibility,Observer Conditions,GPS Latitude,GPS Longitude,GPS Timestamp,GPS Speed (mps),GPS Heading (degrees),,GPS Accuracy (m),,GPS Error Message,GPS Error Code
RB104 5/13 1,"Max speed 2.5 knots, seas 10-12 ft, winds 23 knots",19,START,2019-05-13T13:02:18+00:00,,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,1-3km,4,39.94377,-70.83279167,1.55775E+12,0.051444444,0,,10,,,
RB104 5/13 1,"Max speed 2.5 knots, seas 10-12 ft, winds 23 knots",20,,2019-05-13T13:07:18+00:00,,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,1-3km,4,39.94377,-70.83279167,1.55775E+12,0.051444444,0,,10,,,
RB104 5/13 1,"Max speed 2.5 knots, seas 10-12 ft, winds 23 knots",21,,2019-05-13T13:10:02+00:00,NONE,1,none,,,,,,,,,,"Ship speed below 6 knots, hasnt reached speeds above 8 knots since beginning the trip due to weather conditions and slow going for deployment of measurements.",,,,"Black, Allison",Starboard,5,1-3km,4,39.94377,-70.83279167,1.55775E+12,0.051444444,0,,10,,,
RB104 5/13 1,"Max speed 2.5 knots, seas 10-12 ft, winds 23 knots",22,,2019-05-13T13:12:20+00:00,,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,1-3km,4,39.94496,-70.83139667,1.55775E+12,0.411555556,75.5,,5,,,
RB104 5/13 1,"Max speed 2.5 knots, seas 10-12 ft, winds 23 knots",23,,2019-05-13T13:17:20+00:00,,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,1-3km,4,39.94496,-70.83139667,1.55775E+12,0.411555556,75.5,,5,,,
RB104 5/13 1,"Max speed 2.5 knots, seas 10-12 ft, winds 23 knots",24,,2019-05-13T13:22:20+00:00,,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,1-3km,4,39.94496,-70.83139667,1.55775E+12,0.411555556,75.5,,5,,,
RB104 5/13 1,"Max speed 2.5 knots, seas 10-12 ft, winds 23 knots",25,,2019-05-13T13:27:20+00:00,,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,1-3km,4,39.94496,-70.83139667,1.55775E+12,0.411555556,75.5,,5,,,
RB104 5/13 1,"Max speed 2.5 knots, seas 10-12 ft, winds 23 knots",26,,2019-05-13T13:31:19+00:00,WISP,1,Wilson's Storm-petrel,,Flying,NW,1,355,Adult,Breeding/Alternate spring and summer plumage,Unknown,,,,2-10m,,"Black, Allison",Starboard,5,1-3km,4,39.94496,-70.83139667,1.55775E+12,0.411555556,75.5,,5,,,
RB104 5/13 1,"Max speed 2.5 knots, seas 10-12 ft, winds 23 knots",27,,2019-05-13T13:32:20+00:00,,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,1-3km,4,39.94496,-70.83139667,1.55775E+12,0.411555556,75.5,,5,,,
RB104 5/13 1,"Max speed 2.5 knots, seas 10-12 ft, winds 23 knots",28,,2019-05-13T13:37:20+00:00,,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,1-3km,4,39.94496,-70.83139667,1.55775E+12,0.411555556,75.5,,5,,,
RB104 5/13 1,"Max speed 2.5 knots, seas 10-12 ft, winds 23 knots",29,,2019-05-13T13:40:26+00:00,NOGA,1,Northern Gannet,,Flying,NE,1,340,Juvenile,Non-breeding/Basic fall and winter plumage,Unknown,,,,,,"Black, Allison",Starboard,5,1-3km,4,39.94496,-70.83139667,1.55775E+12,0.411555556,75.5,,5,,,
RB104 5/13 1,"Max speed 2.5 knots, seas 10-12 ft, winds 23 knots",30,,2019-05-13T13:47:20+00:00,,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,1-3km,4,39.94727667,-70.82862333,1.55776E+12,0.411555556,359,,5,,,
RB104 5/13 1,"Max speed 2.5 knots, seas 10-12 ft, winds 23 knots",31,,2019-05-13T13:52:20+00:00,,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,1-3km,4,39.94727667,-70.82862333,1.55776E+12,0.411555556,359,,5,,,
RB104 5/13 1,"Max speed 2.5 knots, seas 10-12 ft, winds 23 knots",32,,2019-05-13T13:57:20+00:00,,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,1-3km,4,39.94726167,-70.82893,1.55776E+12,0.308666667,238.6,,5,,,
RB104 5/13 1,"Max speed 2.5 knots, seas 10-12 ft, winds 23 knots",33,,2019-05-13T14:02:20+00:00,,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,1-3km,4,39.94726167,-70.82893,1.55776E+12,0.308666667,238.6,,5,,,
RB104 5/13 1,"Max speed 2.5 knots, seas 10-12 ft, winds 23 knots",34,,2019-05-13T14:07:20+00:00,,,,,,,,,,,,,,,,,"Black, Allison",Starboard,5,1-3km,4,39.94726167,-70.82893,1.55776E+12,0.308666667,238.6,,5,,,
RB104 5/13 1,"Max speed 2.5 knots, seas 10-12 ft, winds 23 knots",35,,2019-05-13T14:09:08+00:00,POJA,1,Pomarine Jaeger,,Flying,NW,1,300,Adult,Breeding/Alternate spring and summer plumage,Unknown,,,,,,"Black, Allison",Starboard,5,1-3km,4,39.94726167,-70.82893,1.55776E+12,0.308666667,238.6,,5,,,
RB104 5/13 1,"Max speed 2.5 knots, seas 10-12 ft, winds 23 knots",36,,2019-05-13T14:11:18+00:00,WISP,1,Wilson's Storm-petrel,,Flying,W,1,270,Adult,Breeding/Alternate spring and summer plumage,Unknown,,,,0-2m,,"Black, Allison",Starboard,5,1-3km,4,39.94726167,-70.82893,1.55776E+12,0.308666667,238.6,,5,,,
