Transect Name,Transect Comments,Observation ID,Observation Subtype,Observation Timestamp,Species Code,Count,Species Common Name,Behavior,Direction,Distance,Degree,Age,Plumage,Sex,Linked with Observation ID,Observation Comment,Association,Flight Height,Events,Observer,Position,Beaufort ID,Visibility,Observer Conditions,GPS Latitude,GPS Longitude,GPS Timestamp,GPS Speed (mps),GPS Heading (degrees),GPS Accuracy (m),GPS Error Message,GPS Error Code
RB104 5/19 1,,476,START,2019-05-19T15:55:56+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,3,unlimited,4,40.08355667,-70.83004333,1.55828E+12,4.167,0.9,5,,
RB104 5/19 1,,477,,2019-05-19T16:00:46+00:00,REPH,75,Red Phalarope,Flying,SE,2,65,Adult,Breeding/Alternate spring and summer plumage,,,,,0-2m,,"Black, Allison",Starboard,3,unlimited,4,40.08355667,-70.83004333,1.55828E+12,4.167,0.9,5,,
RB104 5/19 1,,478,,2019-05-19T16:00:55+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,3,unlimited,4,40.08355667,-70.83004333,1.55828E+12,4.167,0.9,5,,
RB104 5/19 1,,479,,2019-05-19T16:10:55+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,3,unlimited,4,40.08355667,-70.83004333,1.55828E+12,4.167,0.9,5,,
RB104 5/19 1,,480,,2019-05-19T16:20:55+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,3,unlimited,4,40.16004167,-70.83081833,1.55828E+12,4.269888889,2.8,5,,
RB104 5/19 1,,481,,2019-05-19T16:25:55+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,3,unlimited,4,40.16004167,-70.83081833,1.55828E+12,4.269888889,2.8,5,,
RB104 5/19 1,,482,,2019-05-19T16:30:55+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,3,unlimited,4,40.16004167,-70.83081833,1.55828E+12,4.269888889,2.8,5,,
RB104 5/19 1,,483,,2019-05-19T16:35:55+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,3,unlimited,4,40.16004167,-70.83081833,1.55828E+12,4.269888889,2.8,5,,
RB104 5/19 1,,484,,2019-05-19T16:40:21+00:00,NOFU,1,Northern Fulmar,Flying,NW,2,85,Adult,Light phase,Unknown,,,,2-10m,,"Black, Allison",Starboard,3,unlimited,4,40.16004167,-70.83081833,1.55828E+12,4.269888889,2.8,5,,
RB104 5/19 1,,485,,2019-05-19T16:40:55+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,4,unlimited,4,40.16004167,-70.83081833,1.55828E+12,4.269888889,2.8,5,,
RB104 5/19 1,,486,,2019-05-19T16:45:55+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,4,unlimited,4,40.219785,-70.82969,1.55828E+12,4.115555556,0.1,5,,
RB104 5/19 1,,487,,2019-05-19T16:50:55+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,4,unlimited,4,40.219785,-70.82969,1.55828E+12,4.115555556,0.1,5,,
RB104 5/19 1,,488,,2019-05-19T17:05:55+00:00,,,,,,,,,,,,,,,,"Black, Allison",Starboard,4,unlimited,4,40.219785,-70.82969,1.55828E+12,4.115555556,0.1,5,,
RB104 5/19 1,,489,,2019-05-19T17:06:44+00:00,COTE,3,Common Tern,Flying,S,2,80,Adult,Breeding/Alternate spring and summer plumage,Unknown,,,,2-10m,,"Black, Allison",Starboard,4,unlimited,4,40.219785,-70.82969,1.55828E+12,4.115555556,0.1,5,,
