Transect Name,Transect Comments,Observation ID,Observation Subtype,Observation Timestamp,Species Code,Count,Species Common Name,Behavior,Direction,Distance,Degree,Age,Plumage,Sex,Linked with Observation ID,Observation Comment,Association,Flight Height,Events,Observer,Position,Beaufort ID,Visibility,Observer Conditions,GPS Latitude,GPS Longitude,GPS Timestamp,GPS Speed (mps),GPS Heading (degrees),GPS Accuracy (m),GPS Error Message,GPS Error Code
RB1904 5/22 1,,649,START,2019-05-22T12:33:09+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,unlimited,4,40.07081,-70.82981833,1.55853E+12,0.771666667,0.9,5,,
RB1904 5/22 1,,650,,2019-05-22T12:38:09+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,unlimited,4,40.07081,-70.82981833,1.55853E+12,0.771666667,0.9,5,,
RB1904 5/22 1,,651,,2019-05-22T12:43:09+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,unlimited,4,40.07081,-70.82981833,1.55853E+12,0.771666667,0.9,5,,
RB1904 5/22 1,,652,,2019-05-22T12:48:09+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,unlimited,4,40.07081,-70.82981833,1.55853E+12,0.771666667,0.9,5,,
RB1904 5/22 1,,653,,2019-05-22T12:58:08+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,unlimited,4,40.07081,-70.82981833,1.55853E+12,0.771666667,0.9,5,,
RB1904 5/22 1,,654,,2019-05-22T13:00:50+00:00,NOFU,1,Northern Fulmar,Flying,S,2,290,Adult,Light phase,,,,,0-2m,,"Black, Allison",Port,5,unlimited,4,40.07081,-70.82981833,1.55853E+12,0.771666667,0.9,5,,
RB1904 5/22 1,,655,STOP,2019-05-22T13:03:58+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,5,unlimited,4,40.13525667,-70.83013167,1.55853E+12,4.115555556,1.7,5,,
RB1904 5/22 1a,,656,START,2019-05-22T14:01:45+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,4,unlimited,4,40.13984,-70.83164,1.55853E+12,0.771666667,354,5,,
RB1904 5/22 1a,,657,,2019-05-22T14:06:44+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,4,unlimited,4,40.13984,-70.83164,1.55853E+12,0.771666667,354,5,,
RB1904 5/22 1a,,658,,2019-05-22T14:11:44+00:00,,,,,,,,,,,,,,,,"Black, Allison",Port,4,unlimited,4,40.13984,-70.83164,1.55853E+12,0.771666667,354,5,,
